k10 [1/s],k12 [1/s],k21 [1/s],k13 [1/s],k31 [1/s],V1 [litres]
0.007587084,0.0051940293,0.0025989185,0.0012645383,6.685824e-5,3.1230292
0.0058246194,0.004178091,0.0025519908,0.0008481139,4.4994824e-5,4.344834
0.006006984,0.0043619624,0.0024610474,0.000722291,4.9365713e-5,4.3792205
0.0052754777,0.004712094,0.0024814613,0.00087320874,5.0103197e-5,4.9889536
0.005340354,0.0036016523,0.0024623845,0.00090017595,5.030947e-5,4.709667
0.0071040276,0.0040712547,0.0029138292,0.0019141797,7.7815435e-5,2.63988
0.00529501,0.0045567034,0.0024656334,0.00084778655,4.9423925e-5,5.05459
0.0050373077,0.004850845,0.002520686,0.0009588147,5.184897e-5,5.0242352
0.006473799,0.0043026665,0.0024737872,0.0006699617,4.2229378e-5,3.9045272
0.005895814,0.004443003,0.0024827165,0.00077365444,4.6425634e-5,4.437673
0.006684375,0.0033524802,0.0025086899,0.0006265815,3.755912e-5,3.6922882
0.006115629,0.004469496,0.0024677233,0.0007291541,4.531399e-5,4.2667556
0.0053132535,0.0036185898,0.0025684598,0.0009051159,4.7034086e-5,4.738683
0.0051640463,0.0037758076,0.002394607,0.0007660559,4.6900775e-5,5.550805
0.005339083,0.0031123622,0.002597135,0.000971719,4.502939e-5,4.649366
0.006049498,0.003981981,0.0024901167,0.00073928287,4.4088643e-5,4.3265367
0.006099615,0.004094904,0.0024991015,0.00074137765,4.3872442e-5,4.238654
0.004912281,0.0032932707,0.0026382972,0.0011648712,4.610354e-5,4.9236255
0.0058681,0.003241095,0.0025031713,0.0007859084,4.410415e-5,4.3737235
0.0047954456,0.0034924347,0.0026588775,0.0011601949,4.7211153e-5,4.993192
0.0059003425,0.0033957977,0.0025184364,0.000773311,4.3326276e-5,4.381586
0.007556578,0.0046366616,0.0021995155,0.0005278953,3.3728644e-5,3.9486098
0.00600739,0.0028731355,0.0024907128,0.00080381543,4.4297438e-5,4.259916
0.0077419886,0.0032382046,0.0025720922,0.0011887681,6.565756e-5,3.3684459
0.0064365473,0.004066267,0.0024267982,0.0006395844,4.281059e-5,4.100761
0.006909847,0.0063081756,0.0024673361,0.001054751,6.1640465e-5,4.4389133
0.0053872187,0.0048856637,0.0024220706,0.0007983643,4.9438895e-5,5.112649
0.007635863,0.004142377,0.0017737938,0.0010859671,7.006629e-5,4.2805476
0.006149829,0.0039055094,0.002352968,0.0006472453,4.7142217e-5,4.1509356
0.005612206,0.0040339697,0.002551322,0.00085868675,4.580124e-5,4.5429325
0.003901256,0.0053522014,0.0019780018,0.001313789,7.5105025e-5,4.043411
0.004536373,0.0035891868,0.0019182801,0.0009545309,7.810713e-5,4.3891444
0.0045325328,0.0036047932,0.001977366,0.0010074268,7.889768e-5,4.3676744
0.004262079,0.0045592566,0.0019538936,0.0011062559,7.802216e-5,4.4745703
0.0037913295,0.0035774284,0.001495571,0.00052293914,7.363182e-5,6.32813
0.004125525,0.0048314626,0.0019878459,0.0011248274,7.657152e-5,4.4946194
0.004198555,0.0035365182,0.0016495258,0.0007520641,7.6566466e-5,4.9429946
0.004299446,0.0045106155,0.0019162537,0.0010471148,7.660506e-5,4.5492454
0.0042622522,0.0033588419,0.0017752085,0.00082427886,7.86859e-5,4.244787
0.0043455544,0.0038049198,0.0018458834,0.0008179183,7.125074e-5,4.991159
0.0045163855,0.004060836,0.0019711086,0.0008476562,6.878451e-5,4.7217135
0.0042895367,0.0034070534,0.0017510353,0.00081760593,7.818014e-5,4.2662115
0.004195255,0.004669097,0.0020484864,0.0012044694,7.917767e-5,4.2512565
0.0047218716,0.003678639,0.0020422596,0.00077112176,6.432758e-5,4.6667333
0.003962039,0.0033281255,0.0015406549,0.0005987354,7.7266595e-5,5.1124973
0.0044267387,0.0042425934,0.0019176033,0.0010394492,7.778781e-5,4.4997654
0.0043194033,0.0044782977,0.0019161529,0.0010762074,7.784624e-5,4.49039
0.0035801923,0.0038484673,0.0014586399,0.00047635447,7.17153e-5,7.580063
0.00423272,0.004600543,0.0019729221,0.001121567,7.810246e-5,4.467604
