Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
10.122,9.32823,7.2486415,10.613163
12.297,9.351613,7.2297397,10.554481
9.885,9.365422,7.153214,10.477306
13.324,9.119992,7.005429,10.334895
13.87,9.123473,7.028086,10.391183
19.734,6.9509025,5.4515495,7.5628657
14.091,8.992363,6.991478,10.338494
15.842,8.679942,6.8802333,10.122324
17.248,7.8286047,6.2908864,8.986948
4.407,6.4107866,4.5216594,6.188007
6.665,6.4806204,4.5587897,6.097345
4.318,6.4265766,4.528096,5.9527154
4.965,6.3826942,4.5119257,5.89638
2.074,6.230162,4.4372387,5.819071
5.428,6.2392864,4.4993567,5.9081774
5.845,6.1562657,4.4587555,5.8641076
6.5,6.1068716,4.438704,5.8564997
6.751,6.128991,4.470269,5.91787
6.6480002,6.166565,4.515987,5.997105
5.614,6.049603,4.4846435,5.9733524
5.432,6.065938,4.502655,5.994332
6.578,6.044936,4.4906745,5.9734626
6.64,5.886336,4.4052386,5.840178
5.829,5.9555173,4.475718,5.896334
6.157,5.8203225,4.413757,5.7504163
4.33,0.9032925,0.90115535,1.0278858
4.047,2.7007627,1.9896377,3.1870098
7.697,2.70066,1.9971703,3.135376
4.685,2.7312481,2.017749,3.1548653
4.109,2.7897253,2.0585806,3.214971
4.643,2.7320895,2.0125766,3.134748
4.974,2.883207,2.108038,3.3128402
4.039,2.8472414,2.0715556,3.2479815
5.797,2.8165295,2.0532563,3.2274334
2.424,2.7978616,2.038579,3.216308
5.144,2.8216975,2.0521162,3.249526
4.714,2.8402095,2.0632217,3.2753272
4.784,2.8616707,2.076583,3.3051858
6.067,2.8853097,2.0919483,3.337895
5.244,2.8999805,2.1018472,3.358046
5.804,2.9239054,2.1186106,3.3905702
5.733,2.942927,2.1324937,3.4160547
5.397,1.5395812,1.1337683,1.7757306
3.014,2.7172332,2.2805884,2.798232
3.375,2.7350845,2.2840326,2.7940376
3.231,2.8166726,2.2972744,2.788257
3.202,2.7892659,2.2413743,2.711215
3.696,2.859634,2.2534137,2.756951
3.304,2.9027386,2.2863653,2.8126407
3.398,2.9182677,2.2986417,2.8333182
3.848,2.93291,2.3103554,2.853038
3.539,3.0060585,2.3711247,2.9541206
3.774,2.8918664,2.2760444,2.8459709
3.892,2.9057653,2.2974877,2.8902116
4.172,2.917448,2.3120928,2.9125533
4.24,2.9210927,2.3164287,2.9186604
6.087,6.80598,4.284435,5.9586325
7.226,7.0676427,4.416726,6.013533
6.245,6.798857,4.383062,5.9148445
5.463,6.6852093,4.368591,5.8891225
6.585,6.540221,4.3203964,5.824061
8.016,6.3436017,4.2883716,5.8079567
8.681,6.337414,4.3031697,5.8385077
8.13,6.36589,4.349082,5.9220295
7.116,6.1864247,4.263746,5.825798
7.447,6.170191,4.2701554,5.8488483
7.627,6.1843376,4.294141,5.898745
7.937,6.1989627,4.3127217,5.9349914
3.572,6.1538973,4.304937,5.9459014
9.038,5.9851007,4.229008,5.863125
9.291,6.008894,4.2518997,5.8967214
10.495,6.0922213,4.3287086,5.988503
7.727,12.353063,7.487415,13.369054
8.89,13.571485,8.034262,12.713896
12.412,12.061872,7.7688766,12.29338
13.76,11.632568,7.7127523,12.160291
16.564,11.477419,7.662691,12.070363
14.928,10.776312,7.538888,11.7649765
18.084,10.329408,7.390735,11.429083
16.415,10.334957,7.437047,11.453767
16.921,9.945223,7.2708254,11.132159
17.895,10.006603,7.331512,11.196245
17.852,9.804176,7.2408423,11.027644
4.637,5.4260254,4.528708,5.6771884
4.812,5.5077596,4.5062795,5.5736575
5.399,5.604778,4.4917765,5.5184712
6.481,5.663383,4.509017,5.544967
6.448,5.7885795,4.580189,5.6598735
5.333,5.7172413,4.518196,5.591609
5.343,5.7503514,4.5333085,5.6342916
5.85,5.8327336,4.600008,5.7479215
5.16,5.7354794,4.519286,5.672741
6.217,5.7509227,4.535269,5.706199
5.94,5.755273,4.539964,5.7150254
6.065,5.791204,4.5785866,5.781641
6.535,5.7420154,4.5513153,5.75651
6.331,5.6871767,4.5159025,5.722383
7.327,5.6281395,4.4957323,5.687441
7.601,5.5432415,4.430348,5.60178
7.82,5.5421605,4.4401293,5.608451
7.596,5.5671525,4.4807396,5.6374655
8.508,2.2081914,1.7160317,2.1728005
6.562,1.8080724,1.4552714,1.8780812
9.293,1.2097526,1.0630661,1.3578762
3.21,2.863014,2.3855774,2.8238342
3.22,2.9128382,2.3227506,2.7564757
3.95,3.0092099,2.388331,2.8559654
3.86,3.0336528,2.4068198,2.8834832
2.38,3.0043108,2.3704214,2.8682418
3.38,3.0154657,2.3893135,2.9007335
3.08,3.024913,2.3980293,2.9149141
0.884,0.75363636,0.5577638,0.81482035
2.99,2.8310432,2.1143188,3.163637
3.27,2.9487786,2.188308,3.217292
3.05,2.8493898,2.1072893,3.0653179
2.73,2.9252582,2.16036,3.1397762
3.2,2.9809413,2.200875,3.199878
3.33,2.843766,2.0973275,3.042698
3.86,2.8765585,2.1249244,3.1009629
3.65,2.8936327,2.1397362,3.1311274
0.229,0.81546086,0.61393356,0.8167748
7.16,8.626389,6.580999,9.225133
5.6,8.790854,6.672573,8.888327
9.09,8.764455,6.60676,8.709333
9.61,8.828075,6.6366014,8.752099
4.8,8.8272295,6.6402087,8.817563
10.0,8.8814125,6.686219,8.901306
10.1,8.740261,6.5921264,8.813165
10.5,8.831917,6.69341,9.029445
0.243,6.697826,3.995937,7.0642385
6.87,7.255308,4.127311,6.784076
7.2,6.866212,4.132528,6.646247
4.23,6.30326,4.0605617,6.444924
7.93,6.3703094,4.093297,6.495079
7.29,6.2339177,4.0815983,6.4667716
8.67,4.063573,2.7459245,4.049629
0.225,0.591695,0.44331807,0.630883
0.637,0.7566814,0.57342964,0.78421694
7.79,8.444662,6.5274053,9.484948
10.3,8.511092,6.567104,9.173376
8.69,8.641987,6.5580316,8.933375
7.43,8.638675,6.540183,8.876352
10.0,8.73893,6.6025305,8.967658
9.05,8.6873255,6.558131,8.905135
10.6,8.668108,6.5389233,8.886316
8.16,7.9107275,5.9826927,8.058636
10.7,8.765744,6.6162524,9.090901
0.324,0.49892974,0.28651512,0.37720415
0.086,7.7344775,4.533799,5.974172
5.7,7.5588155,4.5264616,5.88971
6.95,7.148124,4.4742517,5.7779956
8.06,6.575248,4.3649387,5.634665
6.89,6.5098534,4.406143,5.7033463
6.65,6.4270396,4.399144,5.706388
6.63,6.322015,4.3683033,5.6761923
7.28,6.3252325,4.4109397,5.7538934
